,SimulationName,SimulationID,CheckpointID,CheckpointName,Clock.Today,Maize.AboveGround.N,Maize.AboveGround.Wt,Maize.Grain.N,Maize.Grain.NumberFunction,Maize.Grain.Size,Maize.Grain.Total.Wt,Maize.Grain.Wt,Maize.Phenology.CurrentStageName,Maize.Total.Wt,Yield,Zone,source_table
0,Simulation,1,1,Current,1991-08-28,15.312,1937.895,11.985,4095.444,0.258,1057.071,1057.071,HarvestRipe,2024.855,10570.71,Field,Report
1,Simulation,1,1,Current,1992-10-06,11.473,1784.512,8.083,3162.534,0.22,695.787,695.787,HarvestRipe,1890.409,6957.871,Field,Report
2,Simulation,1,1,Current,1993-10-24,8.489,1450.81,5.743,2984.693,0.207,617.798,617.798,HarvestRipe,1516.782,6177.983,Field,Report
3,Simulation,1,1,Current,1995-09-20,8.712,1539.967,5.715,4396.833,0.145,635.96,635.96,HarvestRipe,1631.853,6359.602,Field,Report
4,Simulation,1,1,Current,1996-10-07,9.032,1647.127,5.502,3744.145,0.162,605.205,605.205,HarvestRipe,1727.079,6052.051,Field,Report
5,Simulation,1,1,Current,1997-09-20,10.032,1378.863,7.079,4243.16,0.148,629.468,629.468,HarvestRipe,1487.751,6294.678,Field,Report
6,Simulation,1,1,Current,1998-09-13,9.725,1629.404,6.692,4135.917,0.177,733.93,733.93,HarvestRipe,1714.639,7339.3,Field,Report
7,Simulation,1,1,Current,1999-08-25,10.629,1662.026,6.068,3092.498,0.2,617.259,617.259,HarvestRipe,1742.364,6172.588,Field,Report
8,Simulation,1,1,Current,2000-08-22,10.977,1711.898,6.963,3497.71,0.188,658.261,658.261,HarvestRipe,1784.759,6582.608,Field,Report
9,Simulation,1,1,Current,2001-09-12,10.266,1788.367,7.24,4023.955,0.205,824.762,824.762,HarvestRipe,1888.922,8247.623,Field,Report
10,Simulation,1,1,Current,2004-09-16,23.845,2496.265,14.906,3797.289,0.298,1133.11,1133.11,HarvestRipe,2617.581,11331.101,Field,Report
11,Simulation,1,1,Current,2005-08-22,13.69,1237.882,9.356,2348.323,0.303,711.096,711.096,HarvestRipe,1268.022,7110.963,Field,Report
12,Simulation,1,1,Current,2007-09-01,24.018,2120.867,15.567,4457.57,0.258,1150.858,1150.858,HarvestRipe,2258.431,11508.576,Field,Report
13,Simulation,1,1,Current,2008-10-23,14.779,2391.237,10.498,3889.703,0.28,1089.802,1089.802,HarvestRipe,2497.086,10898.017,Field,Report
14,Simulation,1,1,Current,2009-10-09,10.761,1840.893,7.203,3861.756,0.201,777.214,777.214,HarvestRipe,1919.393,7772.138,Field,Report
15,Simulation,1,1,Current,2010-09-03,9.402,1553.079,5.993,4295.097,0.15,644.747,644.747,HarvestRipe,1647.84,6447.472,Field,Report
16,Simulation,1,1,Current,2011-09-13,9.392,1641.795,6.006,4013.635,0.168,675.166,675.166,HarvestRipe,1723.827,6751.665,Field,Report
17,Simulation,1,1,Current,2012-08-03,8.632,819.463,5.029,1279.872,0.3,383.727,383.727,HarvestRipe,837.02,3837.272,Field,Report
18,Simulation,1,1,Current,2013-09-21,14.795,1750.447,10.655,4418.621,0.189,835.062,835.062,HarvestRipe,1885.231,8350.617,Field,Report
19,Simulation,1,1,Current,2014-10-02,16.918,2387.842,12.168,4114.165,0.278,1143.804,1143.804,HarvestRipe,2495.833,11438.036,Field,Report
20,Simulation,1,1,Current,2016-08-17,20.181,2102.277,15.982,4351.535,0.287,1248.783,1248.783,HarvestRipe,2200.484,12487.826,Field,Report
21,Simulation,1,1,Current,2019-09-21,22.819,2340.85,16.577,4239.479,0.3,1273.594,1273.594,HarvestRipe,2444.59,12735.941,Field,Report
22,Simulation,1,1,Current,2021-09-04,12.453,2005.983,9.112,3789.257,0.241,912.322,912.322,HarvestRipe,2108.977,9123.218,Field,Report
